x, T_15,  T_30, T_60, T_90, T_150, T_210
0.001312, 41.7418, 49.1176, 55.1112, 56.8058, 57.4205, 57.4696
0.001316, 41.7389, 49.1147, 55.1083, 56.8029, 57.4175, 57.4667
0.00132, 41.736, 49.1118, 55.1053, 56.8, 57.4146, 57.4638
0.001324, 41.7331, 49.1088, 55.1024, 56.7971, 57.4117, 57.4608
0.001328, 41.7302, 49.1059, 55.0995, 56.7942, 57.4088, 57.4579
0.001332, 41.7273, 49.103, 55.0966, 56.7912, 57.4059, 57.455
0.001336, 41.7243, 49.1001, 55.0937, 56.7883, 57.403, 57.4521
0.00134, 41.7214, 49.0972, 55.0908, 56.7854, 57.4, 57.4492
0.001344, 41.7185, 49.0943, 55.0878, 56.7825, 57.3971, 57.4463
0.001348, 41.7156, 49.0913, 55.0849, 56.7796, 57.3942, 57.4434
0.001352, 41.7127, 49.0884, 55.082, 56.7767, 57.3913, 57.4404
0.001356, 41.7098, 49.0855, 55.0791, 56.7737, 57.3884, 57.4375
0.00136, 41.7069, 49.0826, 55.0762, 56.7708, 57.3855, 57.4346
